id,date,buying_price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_bins,season,price_sqft,newer,basement,renovated,median_price_zipcode,maximal_expend,suggested_selling_price,expected_profit
5561000190,2014-05-02,437500.0,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,98027,47.4635,-121.991,2340,35100,under_median,spring,222,1,0,0,571000.0,26250.0,568750.0,105000.0
1523069197,2014-05-03,379880.0,3,2.5,1650,14054,1.0,0,0,4,7,1130,520,1986,0,98027,47.4821,-122.017,1940,87555,under_median,spring,230,1,1,0,571000.0,22792.8,493844.0,91171.20000000001
1823069155,2014-05-05,525888.0,5,1.75,2550,71874,1.0,0,0,5,7,1810,740,1960,0,98027,47.4845,-122.08,2170,51400,from_median_upward,spring,206,0,1,0,571000.0,31553.28,683654.4,126213.12
5561301280,2014-05-05,410000.0,3,2.25,1800,36704,1.0,0,0,4,8,1360,440,1978,0,98027,47.4688,-122.013,2730,36404,under_median,spring,227,1,1,0,571000.0,24600.0,533000.0,98400.0
8648900060,2014-05-05,509900.0,3,2.5,1790,2700,2.0,0,0,3,8,1790,0,2010,0,98027,47.564,-122.093,1890,3078,from_median_upward,spring,284,1,0,0,571000.0,40792.0,662870.0,112178.0
9268851800,2014-05-05,415000.0,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2010,0,98027,47.5401,-122.027,1620,1299,under_median,spring,256,1,1,0,571000.0,33200.0,539500.0,91300.0
8562770250,2014-05-07,535000.0,3,2.5,2280,2289,2.0,0,0,3,8,1880,400,2006,0,98027,47.5375,-122.073,2280,2425,from_median_upward,spring,234,1,1,0,571000.0,42800.0,668750.0,90950.0
8137500730,2014-05-07,500000.0,3,2.5,1940,37565,1.0,0,0,4,8,1940,0,1987,0,98027,47.4801,-122.063,2560,37565,from_median_upward,spring,257,1,0,0,571000.0,30000.0,650000.0,120000.0
9545230280,2014-05-07,560000.0,3,2.0,1860,13374,1.0,0,0,3,8,1860,0,1985,0,98027,47.5397,-122.054,1960,9797,from_median_upward,spring,301,1,0,0,571000.0,44800.0,700000.0,95200.0
2423069120,2014-05-08,295000.0,2,1.75,2200,89298,1.0,0,0,3,7,1100,1100,1973,0,98027,47.4633,-121.976,2590,89298,under_median,spring,134,1,1,0,571000.0,23600.0,383500.0,64900.0
291300170,2014-05-09,387000.0,3,2.25,1445,1606,2.0,0,0,3,7,1300,145,2003,0,98027,47.5348,-122.072,1410,1286,under_median,spring,267,1,1,0,571000.0,30960.0,503100.0,85140.0
2617300200,2014-05-09,532000.0,5,3.0,3480,57499,1.0,0,0,4,8,2340,1140,1976,0,98027,47.4574,-122.024,2020,40946,from_median_upward,spring,152,1,1,0,571000.0,31920.0,691600.0,127680.0
723069128,2014-05-14,543000.0,2,2.0,2370,217800,1.5,0,0,3,7,1600,770,1992,0,98027,47.5007,-122.088,2370,157687,from_median_upward,spring,229,1,1,0,571000.0,43440.0,678750.0,92310.0
291310260,2014-05-16,377500.0,3,2.25,1410,1377,2.0,0,0,3,7,1290,120,2005,0,98027,47.5342,-122.067,1445,1370,under_median,spring,267,1,1,0,571000.0,30200.0,490750.0,83050.0
7524950870,2014-05-19,565000.0,4,2.25,2110,10698,2.0,0,0,4,8,2110,0,1979,0,98027,47.5614,-122.082,2220,8252,from_median_upward,spring,267,1,0,0,571000.0,33900.0,706250.0,107350.0
5423030300,2014-05-19,525000.0,4,1.75,2420,7672,1.0,0,0,3,8,1480,940,1979,0,98027,47.5637,-122.085,2370,7699,from_median_upward,spring,216,1,1,0,571000.0,42000.0,682500.0,115500.0
3224069026,2014-05-20,330000.0,3,1.0,1180,43124,1.0,0,0,4,6,1180,0,1959,0,98027,47.5278,-122.063,1410,43560,under_median,spring,279,0,0,0,571000.0,19800.0,429000.0,79200.0
291300010,2014-05-21,389999.0,3,2.25,1445,1471,2.0,0,0,3,7,1300,145,2003,0,98027,47.5342,-122.072,1410,1399,under_median,spring,269,1,1,0,571000.0,31199.920000000002,506998.7,85799.78000000003
3424069066,2014-05-21,396450.0,3,1.75,1540,12446,1.0,0,0,5,8,1540,0,1967,0,98027,47.5172,-122.027,1330,11508,under_median,spring,257,1,0,0,571000.0,23787.0,515385.0,95148.0
5561400140,2014-05-21,429000.0,3,2.5,2420,49928,2.0,0,0,3,8,1860,560,1985,0,98027,47.463,-122.008,2620,37301,under_median,spring,177,1,1,0,571000.0,34320.0,557700.0,94380.0
3630240020,2014-05-21,556000.0,3,3.0,1960,1168,2.0,0,0,3,9,1600,360,2007,0,98027,47.5445,-122.014,2080,1423,from_median_upward,spring,283,1,1,0,571000.0,44480.0,695000.0,94520.0
2623069031,2014-05-21,542500.0,5,3.25,3010,1074218,1.5,0,0,5,8,2010,1000,1931,0,98027,47.4564,-122.004,2450,68825,from_median_upward,spring,180,0,1,0,571000.0,32550.0,678125.0,103075.0
9412200080,2014-05-23,440000.0,4,2.5,2560,10400,1.0,0,0,4,7,1280,1280,1965,0,98027,47.5225,-122.04,1740,11050,under_median,spring,171,1,1,0,571000.0,26400.0,572000.0,105600.0
2924069132,2014-05-27,527500.0,3,1.75,2310,78844,1.0,0,0,3,8,1760,550,1977,0,98027,47.5406,-122.066,2830,6230,from_median_upward,spring,228,1,1,0,571000.0,42200.0,685750.0,116050.0
5561300540,2014-06-02,492000.0,3,1.75,2770,39927,1.0,0,0,4,8,1580,1190,1978,0,98027,47.4669,-122.003,2420,36384,from_median_upward,spring,177,1,1,0,571000.0,29520.0,639600.0,118080.0
291310150,2014-06-02,391000.0,3,2.25,1410,1290,2.0,0,0,3,7,1290,120,2004,0,98027,47.5345,-122.069,1490,1380,under_median,spring,277,1,1,0,571000.0,31280.0,508300.0,86020.0
9202600060,2014-06-02,535000.0,3,2.5,1690,9626,2.0,0,0,3,8,1690,0,1984,0,98027,47.5647,-122.092,1860,8958,from_median_upward,spring,316,1,0,0,571000.0,42800.0,668750.0,90950.0
9414500200,2014-06-02,410000.0,4,1.75,1790,11875,1.0,0,0,4,7,1490,300,1969,0,98027,47.522,-122.047,1870,11760,under_median,spring,229,1,1,0,571000.0,24600.0,533000.0,98400.0
1523069215,2014-06-03,435000.0,3,1.75,2220,132858,1.0,0,0,3,7,1110,1110,1988,0,98027,47.4853,-122.034,2130,77536,under_median,spring,195,1,1,0,571000.0,34800.0,565500.0,95700.0
